,Position,Number of employees,Salary/month/employee,Salary/month,Salary/year/employee,Salary/year,Month 1,Month 6,Month 12,Month 18,Month 24
0,Manager,1,27916.67,27916.67,335000,335000,27917,111667,195417,251250,279167
1,Video editor,1,20000,20000,240000,240000,20000,80000,120000,160000,180000
2,Video editor(Interns),5,1000,5000,12000,60000,5000,20000,30000,40000,45000
3,Contingency team(Video Editing),3,1000,3000,12000,36000,3000,12000,18000,24000,27000
4,Content designer,1,20833.33,20833.33,250000,250000,20833,104167,145833,187500,229167
5,Content designer(Intern),5,1000,5000,12000,60000,5000,25000,35000,45000,55000
6,Contingency team(Content Designing),8,1000,8000,12000,96000,8000,40000,56000,72000,88000
7,Content writer,1,10000,10000,120000,120000,10000,110000,190000,240000,290000
8,Content writer(Intern),5,1000,5000,12000,60000,5000,55000,95000,120000,145000
9,Contingency team(Content writing),4,1000,4000,12000,48000,4000,44000,76000,96000,116000
10,HR manager,1,25000,25000,300000,300000,25000,25000,25000,25000,25000
11,Recruiter,3,9166.67,27500,110000,330000,27500,27500,27500,27500,27500
