Position,Number of employees,Salary/month/employee,Salary/month,Salary/year/employee,Salary/year
Head Of Engineering - Experienced (in years and also in skillset) in Fullstack Development,1,"?1,25,000.00","?1,25,000.00","?15,00,000.00","?15,00,000.00"
Backend Developer,2,"?1,15,000.00","?2,30,000.00","?13,80,000.00","?27,60,000.00"
Frontend Developer,2,"?90,000.00","?1,80,000.00","?10,80,000.00","?21,60,000.00"
QA Testers (1 QA for 4 developers),1,"?35,000.00","?35,000.00","?4,20,000.00","?4,20,000.00"
Fresher - Team leader ,2,"?41,666.67","?83,333.33","?5,00,000.00","?10,00,000.00"
Fresher(2 in each team),4,"?27,916.67","?1,11,666.67","?3,35,000.00","?13,40,000.00"
Interns,8,"?1,000.00","?8,000.00","?12,000.00","?96,000.00"
,,,,,
,,,,,
,,,,,
