Position,Number of employees,Salary/month/employee,Salary/month,Salary/year/employee,Salary/year
Manager,1,"?25,000.00","?25,000.00","?3,00,000.00","?3,00,000.00"
Operations - Students (Lead generation),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Students (Onboarding team),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (Lead generation),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (Onboarding team),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (Strategy - Marketing),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (DAM) ,5,"?25,000.00","?1,25,000.00","?3,00,000.00","?15,00,000.00"
Operations - Teacher retention,5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (Strategy - Churn),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Students (Customer Support),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
Operations - Teachers (Customer Support),5,"?17,500.00","?87,500.00","?2,10,000.00","?10,50,000.00"
