Position,Number of employees,salary/month/employee,salary/month,salary/year/employee,salary/year
Head Of Engineering - Experienced (in years and also in skillset) in Fullstack Development,1,"? 1,25,000.00","? 1,25,000.00","? 15,00,000.00","? 15,00,000.00"
Backend Developer,2,"? 1,15,000.00","? 2,30,000.00","? 13,80,000.00","? 27,60,000.00"
Frontend Developer,2,"? 90,000.00","? 1,80,000.00","? 10,80,000.00","? 21,60,000.00"
QA Testers (1 QA for 4 developers),1,"? 35,000.00","? 35,000.00","? 4,20,000.00","? 4,20,000.00"
Fresher - Team leader,2,"? 41,666.67","? 83,333.33","? 5,00,000.00","? 10,00,000.00"
Fresher(2 in each team),4,"? 27,916.67","? 1,11,666.67","? 3,35,000.00","? 13,40,000.00"
Developers Interns,8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
Finance Manager,1,"? 41,666.67","? 41,666.67","? 5,00,000.00","? 5,00,000.00"
Junior Accountant,1,"? 17,500.00","? 17,500.00","? 2,10,000.00","? 2,10,000.00"
Junior Finance Associate,1,"? 16,666.67","? 16,666.67","? 2,00,000.00","? 2,00,000.00"
BA Manager,1,"? 41,666.67","? 41,666.67","? 5,00,000.00","? 5,00,000.00"
Fresher - Team leader(BA),2,"? 35,000.00","? 70,000.00","? 4,20,000.00","? 8,40,000.00"
BA Interns,8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
Fresher - Team leader (RA),2,"? 35,000.00","? 70,000.00","? 4,20,000.00","? 8,40,000.00"
RA Interns,8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
Fresher - Team Leader (DA),2,"? 35,000.00","? 70,000.00","? 4,20,000.00","? 8,40,000.00"
DA Interns,8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
Contingency team(BA),5,"? 1,000.00","? 5,000.00","? 12,000.00","? 60,000.00"
UI/UX Manager,1,"? 41,666.67","? 41,666.67","? 5,00,000.00","? 5,00,000.00"
Fresher - Team leader(UI/UX),2,"? 27,916.67","? 55,833.33","? 3,35,000.00","? 6,70,000.00"
UI/UX Interns,8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
HR manager,1,"? 25,000.00","? 25,000.00","? 3,00,000.00","? 3,00,000.00"
Recruiter,3,"? 9,166.67","? 27,500.00","? 1,10,000.00","? 3,30,000.00"
Creative Manager,1,"? 27,916.67","? 27,916.67","? 3,35,000.00","? 3,35,000.00"
Video editor,1,"? 20,000.00","? 20,000.00","? 2,40,000.00","? 2,40,000.00"
Video editor(Interns),5,"? 1,000.00","? 5,000.00","? 12,000.00","? 60,000.00"
Contingency team(Video Editing),3,"? 1,000.00","? 3,000.00","? 12,000.00","? 36,000.00"
Content designer,1,"? 20,833.33","? 20,833.33","? 2,50,000.00","? 2,50,000.00"
Content designer(Intern),5,"? 1,000.00","? 5,000.00","? 12,000.00","? 60,000.00"
Contingency team(Content Designing),8,"? 1,000.00","? 8,000.00","? 12,000.00","? 96,000.00"
Content writer,1,"? 10,000.00","? 10,000.00","? 1,20,000.00","? 1,20,000.00"
Content writer(Intern),5,"? 1,000.00","? 5,000.00","? 12,000.00","? 60,000.00"
Contingency team(Content writing),4,"? 1,000.00","? 4,000.00","? 12,000.00","? 48,000.00"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
