Position,Number of employees,salary/month/employee,salary/month,salary/year/employee,salary/year
Head Of Engineering - Experienced (in years and also in skillset) in Fullstack Development,1.00,125000.00,125000.00,1500000.00,1500000.00
Backend Developer,2.00,115000.00,230000.00,1380000.00,2760000.00
Frontend Developer,2.00,90000.00,180000.00,1080000.00,2160000.00
QA Testers (1 QA for 4 developers),1.00,35000.00,35000.00,420000.00,420000.00
Fresher - Team leader,2.00,41666.67,83333.33,500000.00,1000000.00
Fresher(2 in each team),4.00,27916.67,111666.67,335000.00,1340000.00
Developers Interns,8.00,1000.00,8000.00,12000.00,96000.00
Finance Manager,1.00,41666.67,41666.67,500000.00,500000.00
Junior Accountant,1.00,17500.00,17500.00,210000.00,210000.00
Junior Finance Associate,1.00,16666.67,16666.67,200000.00,200000.00
BA Manager,1.00,41666.67,41666.67,500000.00,500000.00
Fresher - Team leader(BA),2.00,35000.00,70000.00,420000.00,840000.00
BA Interns,8.00,1000.00,8000.00,12000.00,96000.00
Fresher - Team leader (RA),2.00,35000.00,70000.00,420000.00,840000.00
RA Interns,8.00,1000.00,8000.00,12000.00,96000.00
Fresher - Team Leader (DA),2.00,35000.00,70000.00,420000.00,840000.00
DA Interns,8.00,1000.00,8000.00,12000.00,96000.00
Contingency team(BA),5.00,1000.00,5000.00,12000.00,60000.00
UI/UX Manager,1.00,41666.67,41666.67,500000.00,500000.00
Fresher - Team leader(UI/UX),2.00,27916.67,55833.33,335000.00,670000.00
UI/UX Interns,8.00,1000.00,8000.00,12000.00,96000.00
HR manager,1.00,25000.00,25000.00,300000.00,300000.00
Recruiter,3.00,9166.67,27500.00,110000.00,330000.00
Creative Manager,1.00,27916.67,27916.67,335000.00,335000.00
Video editor,1.00,20000.00,20000.00,240000.00,240000.00
Video editor(Interns),5.00,1000.00,5000.00,12000.00,60000.00
Contingency team(Video Editing),3.00,1000.00,3000.00,12000.00,36000.00
Content designer,1.00,20833.33,20833.33,250000.00,250000.00
Content designer(Intern),5.00,1000.00,5000.00,12000.00,60000.00
Contingency team(Content Designing),8.00,1000.00,8000.00,12000.00,96000.00
Content writer,1.00,10000.00,10000.00,120000.00,120000.00
Content writer(Intern),5.00,1000.00,5000.00,12000.00,60000.00
Contingency team(Content writing),4.00,1000.00,4000.00,12000.00,48000.00
